x,y,z
-1.752874,2.553555,0.768259
-2.256292,0.7237399999999999,0.323775
-1.909765,0.42534799999999995,0.320185
-1.609097,0.31590799999999997,0.255127
-1.61263,-0.426752,0.29878299999999997
-1.596325,-0.525212,0.132381
-1.060799,0.275625,-0.002706
-0.992284,1.40608,-0.111566
-1.206335,1.259696,-0.347882
-0.992564,0.672787,-0.547531
-1.067933,0.6479239999999999,-0.658053
-1.184888,0.8820020000000001,-0.752105
-0.643832,0.194108,-0.757058
-0.23052,0.42965699999999996,-0.613467
-0.205881,0.446855,-0.141163
-0.238917,-0.127734,-0.011403
-0.178148,-0.471531,0.130467
0.045699000000000004,-0.397046,0.48978999999999995
0.615788,-1.648964,0.58297
1.226356,-3.096304,0.494018
1.7243580000000003,-3.641368,0.239686
2.059628,-2.87021,0.24103899999999998
2.269062,-1.495181,0.120031
2.462253,-1.100132,0.260811
2.6392740000000003,-0.512399,-0.083741
3.064922,-0.046665,-1.036355
3.6605230000000004,-0.16944,-1.218976
2.973241,-1.593415,-0.698524
1.993106,-2.455789,0.025331
1.778791,-2.381501,0.547167
1.187832,-2.776803,1.0797940000000001
0.772967,-2.482388,1.339301
0.719589,-2.04023,0.836297
0.528514,-1.622057,0.323817
0.151956,-0.899546,0.320261
-0.252073,-0.193568,0.47890299999999997
-0.767705,0.6669109999999999,0.459244
-1.313824,1.669011,0.48085100000000003
-1.724808,1.9523490000000001,0.576962
-1.277459,0.8481860000000001,0.590047
-0.656633,0.5097079999999999,0.5147010000000001
0.653198,-0.150707,0.164705
0.524446,0.36452199999999996,0.367176
0.212403,-0.391019,0.436467
-0.369462,-0.436157,0.241249
-1.112287,2.0443290000000003,-0.310843
1.145783,-0.160673,-0.965225
1.5821459999999998,0.363966,-0.675497
-0.294279,1.4174639999999998,-0.63227
-1.17676,2.934732,-0.745064
-0.483183,4.1207080000000005,-1.958444
-0.74197,3.9690199999999995,-2.693926
-1.656881,3.208295,-2.138525
-1.350748,3.1636610000000003,0.228737
-1.790017,2.7826400000000002,0.256067
-2.054165,1.157243,0.431493
-1.736678,0.64891,0.737738
-1.540411,0.27164499999999997,0.607132
-1.638677,-0.380413,0.45345799999999997
-1.51412,-0.456526,0.19912
-0.739246,0.604703,0.00662
-0.856248,2.045616,-0.056932
-1.065245,1.591382,-0.301365
-0.776786,0.8324450000000001,-0.436178
-1.004296,0.77889,-0.432357
-1.124363,0.728817,-0.593365
-1.036067,0.574437,-0.690827
-0.820055,0.020617,-0.642675
-0.215501,0.273778,-0.5405
-0.013363,0.53994,-0.144187
-0.027102,-0.131075,0.10654100000000001
-0.004167,-0.540963,0.292029
0.310498,-0.461371,0.62741
1.06572,-1.603087,0.7067869999999999
1.4066049999999999,-3.370651,0.47962899999999997
1.8186330000000002,-4.279788,0.236913
2.1198639999999997,-2.589076,-0.053706
2.5050310000000002,-1.019813,-0.149166
2.854384,-0.728821,0.037703
2.817911,-0.408776,-0.31227
2.7159150000000003,-0.290597,-1.005342
3.022237,-0.50258,-1.006135
2.757203,-1.044965,-0.737031
2.058226,-2.036082,-0.029208
1.63066,-3.023412,0.8279209999999999
1.261049,-3.071244,1.121298
0.9998299999999999,-2.178318,1.0253940000000001
0.733111,-1.971881,0.5147930000000001
0.24688200000000002,-1.482215,0.22769
-0.020386,-0.804228,0.075404
-0.404219,-0.192707,0.394542
-0.920934,0.907438,0.380977
-1.483543,1.986506,0.350027
-1.874056,2.276318,0.407817
-1.206433,0.9121020000000001,0.52746
-0.336993,0.29385300000000003,0.404002
0.95376,-0.440436,0.428914
0.47786899999999993,0.87202,0.565982
0.076313,-0.264969,0.46635699999999997
-0.777439,-0.357818,0.183843
-1.031258,2.66644,-0.379417
2.0152930000000002,-1.243295,-0.845577
0.949516,1.250702,-0.501568
-0.385074,1.797341,-0.44748
-0.712946,3.6197839999999997,-1.166746
-0.356044,3.216707,-2.173207
-1.178948,2.7247310000000002,-2.836349
-1.971545,3.891495,-1.689701
-1.13163,4.274838,0.548259
-1.820411,2.9890380000000003,0.349611
-2.132956,0.437644,0.634844
-1.774394,0.158712,0.813963
-1.648442,-0.017799,0.623857
-1.609915,-0.261858,0.352042
-1.015668,0.049908,0.193424
-0.719134,0.8261040000000001,0.034267
-1.069697,1.649559,-0.193563
-0.831007,1.019512,-0.282956
-0.764276,1.012373,-0.420281
-1.174042,0.859878,-0.557544
-1.149807,0.699313,-0.651173
-0.948764,0.56121,-0.654932
-0.51685,0.351706,-0.585417
-0.16572,0.311448,-0.413066
-0.015952,0.230871,-0.106405
0.039715,0.27127199999999996,0.131077
-0.106578,-0.337976,0.501509
0.341258,-0.757469,0.8555520000000001
1.018618,-2.043192,0.7850189999999999
1.564834,-3.315763,0.46999799999999997
2.180576,-3.121703,0.157857
2.68343,-1.21102,0.093759
2.8319919999999996,-0.585526,0.18693099999999999
3.003853,-0.650762,0.101689
2.994034,-0.048925,-0.676816
3.114241,0.056117,-1.208086
3.4556449999999996,-0.612113,-1.162116
2.6677169999999997,-1.826197,-0.828506
1.972523,-2.573729,0.23261300000000001
1.9596369999999999,-2.044209,1.022329
1.244856,-1.550561,1.268804
0.981513,-1.688478,1.088748
0.73236,-1.706483,0.480281
0.186867,-0.96048,0.343055
